chr	start	end	x	y	z
chr19	3075000	3080000	-0.00377299574197867	0.00508721729809577	0.00336997243692742
chr19	3080000	3085000	-0.000977641414517787	0.00592489563389337	0.00323793637927122
chr19	3085000	3090000	-0.00197761155738334	0.00242853798893214	0.00637832649265819
chr19	3090000	3095000	0.0000198255476311582	0.00371064930374345	0.0101699491052935
chr19	3095000	3100000	0.000426017572243929	0.00483209998771571	0.00863816207511931
chr19	3100000	3105000	-0.00081061107005363	-0.000383517173302492	0.00761919853976733
chr19	3105000	3110000	-0.00260878213351874	-0.00552172495241698	0.00976453770080122
chr19	3110000	3115000	-0.00388763513388328	-0.00468758474191964	0.00850027051678412
chr19	3115000	3120000	-0.000191229503382382	0.0023710622014688	0.00655796779976302
chr19	3120000	3125000	0.00298182489727575	0.00990448154557188	0.00991250513256638
chr19	3125000	3130000	0.0020713248937801	0.00937887561162273	0.0153751651092649
chr19	3130000	3135000	0.0028119954828264	0.0085387748161062	0.0166701056846383
chr19	3135000	3140000	0.00304410073446846	0.0119288242789468	0.0140415470397053
chr19	3140000	3145000	0.000787623672716216	0.0119264877741132	0.0156284017598254
chr19	3145000	3150000	-0.0019586845549037	0.0152639040628187	0.020656077956094
chr19	3150000	3155000	-0.00706029164536569	0.0142141953032057	0.0264348698230391
chr19	3155000	3160000	-0.00710950196834812	0.00769315618678968	0.0256283350037764
chr19	3160000	3165000	-0.0040808812659588	0.00742140917600234	0.0222624809219122
chr19	3165000	3170000	-0.00524802025626769	0.0143043867924374	0.0232123024188268
chr19	3170000	3175000	-0.00549702538563641	0.0127395624928809	0.0214928981002156
chr19	3175000	3180000	-0.00657363924265571	0.00675862886443101	0.0232763021648134
chr19	3180000	3185000	-0.00904285082481957	0.0107516392463876	0.028184506053324
chr19	3185000	3190000	-0.0131438160930919	0.00996914804181034	0.030714782889712
chr19	3190000	3195000	-0.0138112256932656	0.00943342237869502	0.0302390625285286
chr19	3195000	3200000	-0.0103189395194489	0.0153191547786723	0.0275045222126838
chr19	3200000	3205000	-0.00969343348174801	0.0123589128184582	0.0246166715845748
chr19	3205000	3210000	-0.0116724922420724	0.0096879581748673	0.0235522970131351
chr19	3210000	3215000	-0.0128457382995961	0.0117083843826902	0.0234703263542066
chr19	3215000	3220000	-0.0149009791089783	0.00902220923662269	0.0233447492697861
chr19	3220000	3225000	-0.0123294818454485	0.00571300257109411	0.020753623462566
chr19	3225000	3230000	-0.00937100177293223	0.0085905972025675	0.0182109289771865
chr19	3230000	3235000	-0.0119317380667439	0.00971539756430077	0.0191576647496731
chr19	3235000	3240000	-0.011937325361899	0.00166806555971471	0.0168643753175296
chr19	3240000	3245000	-0.0117458909770105	-0.00355675285397192	0.0144234753055955
chr19	3245000	3250000	-0.0144291589536587	-0.00532703665372364	0.0147193640442987
chr19	3250000	3255000	-0.0223449883009514	-0.00498488703423706	0.0130467412448037
chr19	3255000	3260000	-0.0295360774947387	-0.00244598491213838	0.0105798192837214
chr19	3260000	3265000	-0.0323164083581772	-0.000487332523849609	0.00964443615410439
chr19	3265000	3270000	-0.0338130758142571	-0.000602760716655138	0.00777279959380559
chr19	3270000	3275000	-0.0338863850969337	-0.0000229033753573376	0.00514054386806228
chr19	3275000	3280000	-0.0341058803459728	0.00483115393434358	0.000425668053012238
chr19	3280000	3285000	-0.0316173983039365	0.00669029643487809	0.0000606514130339419
chr19	3285000	3290000	-0.0292159998417613	0.00840490476948496	0.00106709808513884
chr19	3290000	3295000	-0.0288020906543741	0.0123651603161317	-0.00385908550561985
chr19	3295000	3300000	-0.0295440012687739	0.011400193027765	-0.00682485284249471
chr19	3300000	3305000	-0.0306331227626633	0.0108610622183428	-0.00740843442357503
chr19	3305000	3310000	-0.0285627620048255	0.0142551920302592	-0.00871249493409515
chr19	3310000	3315000	-0.0276359938790008	0.0167425872836786	-0.00864527499670574
chr19	3315000	3320000	-0.0263385810157864	0.0206014667937051	-0.010196270654443
chr19	3320000	3325000	-0.0211540710471351	0.026414552468059	-0.0121036003667171
chr19	3325000	3330000	-0.0172870242790867	0.0296540155817482	-0.0124390073133471
chr19	3330000	3335000	-0.0164274278337519	0.0293389104288661	-0.00898259795786485
chr19	3335000	3340000	-0.0170646852596029	0.0281291264862763	-0.00727913206141049
chr19	3340000	3345000	-0.0216173447017385	0.0246662446889523	-0.0111343933957197
chr19	3345000	3350000	-0.022755120594654	0.0226376103874166	-0.015049046741161
chr19	3350000	3355000	-0.0202750916239079	0.0248406993066825	-0.017163715392012
